0, -82.5, -177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
406, -42.5, -132.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
407, -42.5, -127.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
408, -42.5, -122.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
409, -42.5, -117.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
410, -42.5, -112.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
411, -42.5, -107.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
412, -42.5, -102.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
413, -42.5, -97.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
414, -42.5, -92.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
415, -42.5, -87.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
416, -42.5, -82.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
417, -42.5, -77.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
418, -42.5, -62.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Falkland Cold Current
419, -42.5, -57.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Falkland Cold Current
420, -42.5, -52.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Falkland Cold Current
421, -42.5, -47.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
422, -42.5, -42.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Falkland Cold Current
423, -42.5, -37.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
424, -42.5, -32.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
425, -42.5, -27.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
426, -42.5, -22.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
427, -42.5, -17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
428, -42.5, -12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
429, -42.5, -7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
430, -42.5, -2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
431, -42.5, 2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
432, -42.5, 7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
433, -42.5, 12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
434, -42.5, 17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
435, -42.5, 22.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
436, -42.5, 27.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
437, -42.5, 32.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
438, -42.5, 37.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
439, -42.5, 42.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
440, -42.5, 47.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
441, -42.5, 52.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
442, -42.5, 57.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
443, -42.5, 62.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
444, -42.5, 67.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
445, -42.5, 72.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
446, -42.5, 77.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
447, -42.5, 82.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
448, -42.5, 87.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
449, -42.5, 92.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
450, -42.5, 97.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
451, -42.5, 102.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
452, -42.5, 107.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
453, -42.5, 112.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
454, -42.5, 117.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
455, -42.5, 122.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
456, -42.5, 127.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
457, -42.5, 132.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
458, -42.5, 137.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
459, -42.5, 142.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
460, -42.5, 152.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
461, -42.5, 157.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & East Australian Warm Current
462, -42.5, 162.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
463, -42.5, 167.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
464, -42.5, 177.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
465, -37.5, -177.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
466, -37.5, -172.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
467, -37.5, -167.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
468, -37.5, -162.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
469, -37.5, -157.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
470, -37.5, -152.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
471, -37.5, -147.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
472, -37.5, -142.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
473, -37.5, -137.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
474, -37.5, -132.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
475, -37.5, -127.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
476, -37.5, -122.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
477, -37.5, -117.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
478, -37.5, -112.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
479, -37.5, -107.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
480, -37.5, -102.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
481, -37.5, -97.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
482, -37.5, -92.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
483, -37.5, -87.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
484, -37.5, -82.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
485, -37.5, -77.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
486, -37.5, -52.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Falkland Cold Current
487, -37.5, -47.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Brazilian Warm Current
488, -37.5, -42.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
489, -37.5, -37.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
490, -37.5, -32.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
491, -37.5, -27.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
492, -37.5, -22.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
493, -37.5, -17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
494, -37.5, -12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
495, -37.5, -7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
496, -37.5, -2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
497, -37.5, 2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
498, -37.5, 7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
499, -37.5, 12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
500, -37.5, 17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
501, -37.5, 22.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
502, -37.5, 27.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
503, -37.5, 32.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
504, -37.5, 37.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
505, -37.5, 42.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
506, -37.5, 47.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
507, -37.5, 52.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
508, -37.5, 57.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
509, -37.5, 62.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
510, -37.5, 67.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
511, -37.5, 72.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
512, -37.5, 77.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
513, -37.5, 82.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
514, -37.5, 87.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
515, -37.5, 92.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
516, -37.5, 97.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
517, -37.5, 102.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
518, -37.5, 107.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
519, -37.5, 112.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
520, -37.5, 117.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
521, -37.5, 122.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
522, -37.5, 127.5, Great Australian Bight, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
523, -37.5, 132.5, Great Australian Bight, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
524, -37.5, 137.5, Great Australian Bight, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
525, -37.5, 152.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
526, -37.5, 157.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
527, -37.5, 162.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
528, -37.5, 167.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
529, -37.5, 172.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
530, -37.5, 177.5, Bay of Plenty, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
531, -32.5, -177.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Tasman Current
532, -32.5, -172.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
533, -32.5, -167.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
534, -32.5, -162.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
535, -32.5, -157.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
536, -32.5, -152.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
537, -32.5, -147.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
538, -32.5, -142.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
539, -32.5, -137.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
540, -32.5, -132.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
541, -32.5, -127.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
542, -32.5, -122.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
543, -32.5, -117.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
544, -32.5, -112.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
545, -32.5, -107.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
546, -32.5, -102.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
547, -32.5, -97.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
548, -32.5, -92.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
549, -32.5, -87.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
550, -32.5, -82.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Falkland Cold Current
551, -32.5, -77.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
552, -32.5, -72.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
553, -32.5, -47.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Brazilian Warm Current
554, -32.5, -42.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
555, -32.5, -37.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
556, -32.5, -32.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
557, -32.5, -27.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
558, -32.5, -22.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
559, -32.5, -17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
560, -32.5, -12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
561, -32.5, -7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
562, -32.5, -2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
563, -32.5, 2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
564, -32.5, 7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
565, -32.5, 12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
566, -32.5, 17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
567, -32.5, 32.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Mozambique Current & Aguascalientes Warm Current
568, -32.5, 37.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Aguascalientes Warm Current
569, -32.5, 42.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
570, -32.5, 47.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Aguascalientes Warm Current
571, -32.5, 52.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
572, -32.5, 57.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
573, -32.5, 62.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
574, -32.5, 67.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
575, -32.5, 72.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
576, -32.5, 77.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Aguascalientes Warm Current
577, -32.5, 82.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
578, -32.5, 87.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
579, -32.5, 92.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
580, -32.5, 97.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
581, -32.5, 102.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
582, -32.5, 107.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
583, -32.5, 112.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
584, -32.5, 127.5, Great Australian Bight, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
585, -32.5, 132.5, Great Australian Bight, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
586, -32.5, 152.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
587, -32.5, 157.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
588, -32.5, 162.5, Tasman Sea, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
589, -32.5, 167.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
590, -32.5, 172.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
591, -32.5, 177.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Tasman Current
592, -27.5, -177.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
593, -27.5, -172.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
594, -27.5, -167.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
595, -27.5, -162.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
596, -27.5, -157.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, South Equatorial Current
597, -27.5, -152.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
598, -27.5, -147.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
599, -27.5, -142.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, East Australian Warm Current
600, -27.5, -137.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
601, -27.5, -132.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
602, -27.5, -127.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
603, -27.5, -122.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
604, -27.5, -117.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Western Australia Cool Current
605, -27.5, -112.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
606, -27.5, -107.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
607, -27.5, -102.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
608, -27.5, -97.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
609, -27.5, -92.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
610, -27.5, -87.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
611, -27.5, -82.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
612, -27.5, -77.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
613, -27.5, -72.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
614, -27.5, -47.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Brazilian Warm Current
615, -27.5, -42.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Brazilian Warm Current
616, -27.5, -37.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Brazilian Warm Current
617, -27.5, -32.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Brazilian Warm Current
618, -27.5, -27.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Falkland Cold Current
619, -27.5, -22.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
620, -27.5, -17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
621, -27.5, -12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
622, -27.5, -7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
623, -27.5, -2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Benguela Cold Current
